Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Score,Result
3.62,59.26,50.7,4,4.66,66.6,Pass
7.66,77.1,49.82,10,5.91,78.26,Pass
6.12,93.65,89.38,6,7.1,84.41,Pass
5.19,86.61,49.97,9,6.27,73.7,Pass
2.09,90.33,51.32,8,7.9,67.21,Pass
2.09,82.94,80.56,9,8.99,68.5,Pass
1.41,84.61,61.98,8,4.96,66.35,Pass
7.06,92.46,81.6,4,6.3,81.34,Pass
5.21,62.48,38.92,3,6.15,54.02,Pass
5.96,74.47,64.25,8,5.52,70.26,Pass
1.14,61.06,37.02,4,4.99,37.6,Needs Support
7.79,99.38,38.76,4,4.33,73.47,Pass
6.83,97.2,89.39,3,8.44,92.82,Pass
2.49,51.97,43.35,5,6.1,51.29,Pass
2.27,85.28,66.95,9,6.48,62.66,Pass
2.28,96.26,59.67,2,8.58,66.38,Pass
3.13,59.03,55.84,2,7.88,45.6,Pass
4.67,78.4,88.99,6,4.65,73.71,Pass
4.02,95.77,36.31,6,6.83,68.23,Pass
3.04,51.7,74.83,2,6.21,60.45,Pass
5.28,84.87,92.8,7,7.99,89.27,Pass
1.98,64.87,68.61,2,7.62,63.88,Pass
3.05,96.22,91.21,6,7.45,84.33,Pass
3.56,98.55,38.14,10,5.7,58.65,Pass
4.19,97.21,60.13,6,8.02,72.61,Pass
6.5,73.71,50.61,7,4.26,67.79,Pass
2.4,93.1,78.85,9,4.8,75.33,Pass
4.6,92.23,93.88,2,5.68,74.14,Pass
5.15,65.96,50.39,3,4.38,51.6,Pass
1.33,91.45,74.25,10,5.17,85.38,Pass
5.25,51.85,46.89,4,8.15,56.34,Pass
2.19,79.81,68.92,7,8.74,82.31,Pass
1.46,61.5,62.84,6,5.52,50.93,Pass
7.64,56.03,93.32,3,5.32,79.95,Pass
7.76,53.85,71.51,8,5.4,77.52,Pass
6.66,84.81,55.97,5,5.39,66.8,Pass
3.13,66.99,41.85,2,4.18,44.9,Pass
1.68,86.24,44.07,5,8.63,58.98,Pass
5.79,53.27,48.52,7,5.07,57.13,Pass
4.08,65.76,50.06,8,6.1,62.2,Pass
1.85,76.97,86.04,8,4.05,59.03,Pass
4.47,89.54,68.67,8,8.29,83.09,Pass
1.24,65.94,66.4,4,7.66,64.15,Pass
7.37,81.29,41.89,7,8.73,76.65,Pass
2.81,94.3,86.61,9,7.91,95.23,Pass
5.64,80.79,78.37,5,5.57,79.31,Pass
3.18,61.65,39.06,9,5.24,62.54,Pass
4.64,51.22,77.47,3,7.49,71.2,Pass
4.83,93.5,67.61,10,5.82,67.34,Pass
2.29,51.06,39.9,10,6.83,57.78,Pass
7.79,93.74,62.5,9,4.03,76.2,Pass
6.43,76.45,64.08,2,4.31,59.87,Pass
7.58,96.95,44.95,3,6.68,66.39,Pass
7.26,89.94,91.74,7,6.83,89.89,Pass
5.19,99.9,86.0,6,7.76,89.6,Pass
7.45,67.54,75.14,10,4.66,84.58,Pass
1.62,88.36,62.74,6,6.57,64.91,Pass
2.37,70.1,59.71,3,4.97,58.43,Pass
1.32,73.99,74.06,5,4.47,64.49,Pass
3.28,81.38,67.73,10,6.05,76.72,Pass
3.72,93.68,38.74,2,4.82,46.44,Pass
2.9,99.2,65.75,2,5.11,60.5,Pass
6.8,88.41,83.38,8,5.59,87.13,Pass
3.5,70.89,62.55,4,5.3,64.38,Pass
2.97,71.07,38.12,3,4.44,41.71,Pass
4.8,86.88,82.18,10,4.45,82.76,Pass
1.99,61.94,47.08,4,4.97,41.06,Pass
6.62,55.52,50.52,3,4.25,62.83,Pass
1.52,67.73,44.88,9,7.13,59.72,Pass
7.91,64.36,54.81,7,5.44,65.34,Pass
6.41,64.82,80.41,7,5.4,70.57,Pass
2.39,61.68,66.16,8,5.66,65.28,Pass
1.04,52.1,47.29,8,7.31,59.83,Pass
6.71,50.89,87.67,7,8.35,75.22,Pass
5.95,99.39,87.77,5,7.8,91.23,Pass
6.1,71.39,87.23,10,7.64,85.09,Pass
6.4,69.22,49.33,7,6.42,72.89,Pass
1.52,83.98,62.07,5,7.47,66.4,Pass
3.51,60.91,94.1,4,6.76,71.83,Pass
1.81,97.5,81.32,5,5.08,61.79,Pass
7.04,89.32,36.63,4,5.04,68.21,Pass
5.36,54.47,38.91,3,5.48,54.23,Pass
3.32,70.88,62.84,6,8.55,69.32,Pass
1.44,93.96,89.55,3,6.74,72.01,Pass
3.18,97.24,67.32,7,7.67,71.12,Pass
3.28,73.37,64.87,4,5.73,67.53,Pass
6.11,80.67,41.33,7,6.04,72.14,Pass
5.46,58.35,74.41,10,4.63,69.46,Pass
7.21,99.56,84.33,2,4.86,87.83,Pass
4.31,61.58,57.83,7,8.14,67.32,Pass
1.84,97.14,81.54,10,6.92,81.37,Pass
5.99,82.48,92.87,5,5.69,81.55,Pass
6.33,80.39,47.23,3,8.01,66.17,Pass
4.93,75.63,66.4,5,5.23,75.1,Pass
6.4,61.53,52.23,2,8.88,68.48,Pass
4.46,58.83,82.57,4,5.72,72.68,Pass
4.66,61.02,69.66,10,5.69,74.03,Pass
3.99,59.32,73.07,6,5.56,70.51,Pass
1.18,88.98,82.87,7,4.61,66.06,Pass
1.76,67.51,58.76,4,4.56,56.21,Pass
1.22,52.89,89.91,6,7.24,64.66,Pass
5.45,98.46,66.98,9,8.38,74.95,Pass
3.2,94.19,44.48,7,7.95,59.23,Pass
4.56,96.39,76.75,5,4.71,72.19,Pass
7.35,99.75,82.6,3,6.73,86.88,Pass
2.75,58.69,54.01,10,4.53,57.56,Pass
3.87,69.81,86.43,2,4.23,62.5,Pass
6.29,87.91,89.37,2,7.28,84.53,Pass
2.6,84.8,51.61,5,6.68,58.51,Pass
1.54,57.69,94.01,8,4.41,75.12,Pass
